iter	Passed	Remaining
304	1001	2281
305	1003	2276
306	1007	2273
307	1011	2272
308	1014	2268
309	1020	2271
310	1023	2266
311	1026	2264
312	1029	2258
313	1032	2255
314	1034	2249
315	1036	2244
316	1041	2242
317	1044	2239
318	1046	2233
319	1048	2227
320	1050	2221
321	1052	2216
322	1056	2213
323	1058	2207
324	1061	2204
325	1064	2200
326	1066	2194
327	1069	2190
328	1071	2185
329	1073	2179
330	1077	2178
331	1080	2173
332	1085	2173
333	1087	2169
334	1089	2163
335	1093	2161
336	1096	2156
337	1098	2150
338	1100	2145
339	1101	2139
340	1105	2135
341	1108	2131
342	1110	2127
343	1112	2121
344	1114	2115
345	1116	2110
346	1118	2105
347	1121	2100
348	1123	2095
349	1126	2091
350	1129	2088
351	1132	2085
352	1137	2084
353	1142	2084
354	1144	2078
355	1145	2072
356	1147	2067
357	1150	2062
358	1152	2057
359	1154	2052
360	1156	2047
361	1158	2042
362	1160	2037
363	1162	2031
364	1164	2026
365	1166	2020
366	1169	2017
367	1174	2017
368	1176	2012
369	1179	2007
370	1181	2003
371	1183	1997
372	1185	1992
373	1188	1989
374	1194	1990
375	1199	1991
376	1201	1986
377	1205	1982
378	1207	1978
379	1209	1973
380	1211	1967
381	1213	1963
382	1215	1958
383	1217	1953
384	1221	1950
385	1226	1950
386	1228	1946
387	1232	1944
388	1234	1939
389	1236	1934
390	1243	1936
391	1246	1932
392	1248	1929
393	1251	1924
394	1253	1919
395	1255	1915
396	1257	1910
397	1260	1907
398	1263	1902
399	1267	1900
400	1268	1895
401	1272	1892
402	1276	1890
403	1279	1887
404	1282	1884
405	1287	1884
406	1291	1881
407	1294	1878
408	1299	1877
409	1303	1875
410	1307	1873
411	1309	1868
412	1311	1864
413	1313	1859
414	1316	1855
415	1322	1857
416	1327	1855
417	1329	1851
418	1332	1847
419	1338	1848
420	1340	1843
421	1342	1839
422	1346	1837
423	1348	1832
424	1350	1827
425	1353	1824
426	1355	1819
427	1357	1814
428	1360	1810
429	1362	1806
430	1365	1802
431	1369	1800
432	1374	1799
433	1376	1795
434	1378	1790
435	1380	1786
